ID_do_Participante,ID_da_Imagem_Apresentada,Opcoes_de_Som,ID_do_Som_Escolhido,Grau_de_Confianca,Spatial_Enclosure,Arousal_Level,Material_Warmth,Emotional_Valence
P05,I14,S2;S7;S14,S14,4,Enclosed,Tense,Warm,Unpleasant
P05,I11,S11;S10;S16,S11,4,Enclosed,Calm,Cold,Pleasant
P05,I10,S11;S10;S16,S16,2,Enclosed,Calm,Warm,Unpleasant
P05,I16,S11;S10;S16,S10,2,Enclosed,Tense,Cold,Unpleasant
P06,I2,S14;S2;S7,S14,7,Open,Calm,Warm,Unpleasant
P06,I14,S14;S2;S7,S2,6,Enclosed,Tense,Warm,Unpleasant
P06,I7,S14;S2;S7,S7,4,Open,Tense,Cold,Pleasant
P06,I16,S10;S11;S16,S10,5,Enclosed,Tense,Cold,Unpleasant
P06,I11,S10;S11;S16,S11,6,Enclosed,Calm,Cold,Pleasant
P06,I10,S10;S11;S16,S16,4,Enclosed,Calm,Warm,Unpleasant
P07,I2,S2;S7;S14,S2,3,Open,Calm,Warm,Unpleasant
P07,I7,S2;S7;S14,S7,7,Open,Tense,Cold,Pleasant
P07,I14,S2;S7;S14,S14,4,Enclosed,Tense,Warm,Unpleasant
P07,I10,S16;S10;S11,S16,6,Enclosed,Calm,Warm,Unpleasant
P07,I16,S16;S10;S11,S10,5,Enclosed,Tense,Cold,Unpleasant
P07,I11,S16;S10;S11,S11,7,Enclosed,Calm,Cold,Pleasant
P08,I2,S14;S7;S2,S14,5,Open,Calm,Warm,Unpleasant
P08,I7,S14;S7;S2,S7,6,Open,Tense,Cold,Pleasant
P08,I14,S14;S7;S2,S2,3,Enclosed,Tense,Warm,Unpleasant
P08,I11,S11;S10;S16,S11,6,Enclosed,Calm,Cold,Pleasant
P08,I16,S11;S10;S16,S10,5,Enclosed,Tense,Cold,Unpleasant
P08,I10,S11;S10;S16,S16,7,Enclosed,Calm,Warm,Unpleasant
P09,I14,S14;S7;S2,S14,3,Enclosed,Tense,Warm,Unpleasant
P09,I7,S14;S7;S2,S7,7,Open,Tense,Cold,Pleasant
P09,I2,S14;S7;S2,S2,6,Open,Calm,Warm,Unpleasant
P09,I16,S10;S11;S16,S10,6,Enclosed,Tense,Cold,Unpleasant
P09,I11,S10;S11;S16,S11,7,Enclosed,Calm,Cold,Pleasant
P09,I10,S10;S11;S16,S16,6,Enclosed,Calm,Warm,Unpleasant
P10,I7,S7;S14;S2,S7,6,Open,Tense,Cold,Pleasant
P10,I2,S7;S14;S2,S14,6,Open,Calm,Warm,Unpleasant
P10,I14,S7;S14;S2,S2,3,Enclosed,Tense,Warm,Unpleasant
P10,I11,S10;S16;S11,S10,7,Enclosed,Calm,Cold,Pleasant
P10,I10,S10;S16;S11,S16,5,Enclosed,Calm,Warm,Unpleasant
P10,I16,S10;S16;S11,S11,6,Enclosed,Tense,Cold,Unpleasant
P11,I7,S7;S14;S2,S7,7,Open,Tense,Cold,Pleasant
P11,I2,S7;S14;S2,S14,4,Open,Calm,Warm,Unpleasant
P11,I14,S7;S14;S2,S2,3,Enclosed,Tense,Warm,Unpleasant
P11,I16,S11;S16;S10,S11,6,Enclosed,Tense,Cold,Unpleasant
P11,I10,S11;S16;S10,S16,6,Enclosed,Calm,Warm,Unpleasant
P11,I11,S11;S16;S10,S10,7,Enclosed,Calm,Cold,Pleasant
P12,I7,S7;S14;S2,S7,2,Open,Tense,Cold,Pleasant
P12,I2,S7;S14;S2,S14,2,Open,Calm,Warm,Unpleasant
P12,I14,S7;S14;S2,S2,5,Enclosed,Tense,Warm,Unpleasant
P12,I10,S10;S11;S16,S10,3,Enclosed,Calm,Warm,Unpleasant
P12,I11,S10;S11;S16,S11,3,Enclosed,Calm,Cold,Pleasant
P12,I16,S10;S11;S16,S16,1,Enclosed,Tense,Cold,Unpleasant
